"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Chili","CHL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.31","","","0.33","","","0.29","","0.47","","0.39","","0.64","","0.86","","0.95","","1.02","","1.24","","1.09","","0.65","",
"Chine","CHN","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.24","","","0.25","","0.45","","0.37","","0.43","","0.61","","1.01","","1.04","","1.28","","1.09","","0.81","",
"Côte d'Ivoire","CIV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.15","0.86","","","0.56","","","0.45","","0.51","","0.6","","0.95","","1.06","","1.2","","1.3","","1.2","","1.17","","0.93","",
"Cameroun","CMR","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.58","0.58","","","0.5","","","0.48","","0.47","","0.57","","0.83","","1.07","","1.04","","1.1","","1.01","","1.14","","0.94","",
"Congo, République démocratique du","COD","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.73","0.67","","","0.7","","","0.5","","0.93","","0.69","","0.81","","1","","1.21","","1.27","","1.48","","1.67","","1.2","",
"Congo, République du","COG","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.71","","","","","","","0.4","","0.3","","0.48","","0.59","","0.67","","0.57","","0.84","","0.92","","0.9","","","",
"Colombie","COL","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.19","","","0.27","","","0.2","","0.35","","0.24","","0.36","","0.57","","0.73","","0.95","","1.18","","1.04","","0.64","",
"Comores","COM","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","","","","","","","0.43","","0.39","","","","0.81","","","","1.43","","1.33","","1.58","","1.31","","0.81","",
"Costa Rica","CRI","Prix à la pompe de l’essence diesel ($ US par litre)","EP.PMP.DESL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44","","0.56","","0.67","","1.1","","0.97","","1.36","","1.21","","0.79","",
